,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1,1,1,0.818390805,0.29226361,0.438746439,0.100456621,0.128514056,0.122743682,0.098859316,0.176291793,0.221105528,0.077586207,0.045801527,0.053231939,0.049792531
2,1,1,1,0.818390805,0.29226361,0.438746439,0.100456621,0.128514056,0.122743682,0.098859316,0.176291793,0.221105528,0.077586207,0.045801527,0.053231939,0.049792531
3,1,1,1,0.818390805,0.29226361,0.438746439,0.100456621,0.128514056,0.122743682,0.098859316,0.176291793,0.221105528,0.077586207,0.045801527,0.053231939,0.049792531
4,0.818390805,0.818390805,0.818390805,1,0.229268293,0.373786408,0.078571429,0.103225806,0.100591716,0.080246914,0.148717949,0.239651416,0.211604096,0.079295154,0.092592593,0.099337748
5,0.29226361,0.29226361,0.29226361,0.229268293,1,0.27607362,0.113402062,0.142857143,0.134920635,0.109243697,0.171052632,0.209115282,0.086956522,0.032608696,0.033613445,0.083333333
6,0.438746439,0.438746439,0.438746439,0.373786408,0.27607362,1,0.142857143,0.14159292,0.133858268,0.108333333,0.169934641,0.218666667,0.086124402,0.064864865,0.058333333,0.055045872
7,0.100456621,0.100456621,0.100456621,0.078571429,0.113402062,0.142857143,1,0.234042553,0.131147541,0.111111111,0.08045977,0.090534979,0.233766234,0.050420168,0.074074074,0.139534884
8,0.128514056,0.128514056,0.128514056,0.103225806,0.142857143,0.14159292,0.234042553,1,0.131578947,0.086956522,0.117647059,0.117216117,0.168224299,0.044776119,0.057971014,0.103448276
9,0.122743682,0.122743682,0.122743682,0.100591716,0.134920635,0.133858268,0.131147541,0.131578947,1,0.325301205,0.077586207,0.086378738,0.088888889,0.040540541,0.048192771,0.083333333
10,0.098859316,0.098859316,0.098859316,0.080246914,0.109243697,0.108333333,0.111111111,0.086956522,0.325301205,1,0.036697248,0.041811847,0.099173554,0.042553191,0.052631579,0.092307692
11,0.176291793,0.176291793,0.176291793,0.148717949,0.171052632,0.169934641,0.08045977,0.117647059,0.077586207,0.036697248,1,0.311614731,0.139037433,0.074712644,0.155963303,0.163265306
12,0.221105528,0.221105528,0.221105528,0.239651416,0.209115282,0.218666667,0.090534979,0.117216117,0.086378738,0.041811847,0.311614731,1,0.09375,0.057553957,0.090592334,0.135849057
13,0.077586207,0.077586207,0.077586207,0.211604096,0.086956522,0.086124402,0.233766234,0.168224299,0.088888889,0.099173554,0.139037433,0.09375,1,0.09561753,0.198347107,0.242424242
14,0.045801527,0.045801527,0.045801527,0.079295154,0.032608696,0.064864865,0.050420168,0.044776119,0.040540541,0.042553191,0.074712644,0.057553957,0.09561753,1,0.04964539,0.115384615
15,0.053231939,0.053231939,0.053231939,0.092592593,0.033613445,0.058333333,0.074074074,0.057971014,0.048192771,0.052631579,0.155963303,0.090592334,0.198347107,0.04964539,1,0.153846154
16,0.049792531,0.049792531,0.049792531,0.099337748,0.083333333,0.055045872,0.139534884,0.103448276,0.083333333,0.092307692,0.163265306,0.135849057,0.242424242,0.115384615,0.153846154,1
